No1,Name1,No2,Name2,distance
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,2.024020177485381
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,2.598101606217697
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,3 AG,A/OHIO/9/2015 MDCK2,1.9656760319761966
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,3.6686101367473025
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,5 AG,A/SWINE/MINNESOTA/A01567490/2014 MDCK2,3.0952251379348366
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,6 AG,A/CALIFORNIA/4/2009 MDCK4,3.7502872978024304
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,7 AG,A/MEXICO/4108/2009 MDCK3,3.3348821445110866
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,8 AG,A/BRAZIL/11/1978 MDCK2,10.441862141196212
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,9 AG,A/NEW_CALEDONIA/20/1999 E2,5.743038576492625
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,10 AG,A/MICHIGAN/45/2015 MDCK3,5.684280024796967
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,11 AG,A/SWINE/NORTH_CAROLINA/A01797415/2015 MDCK3,3.472799367541688
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,12 AG,A/SWINE/IOWA/A01731653/2016 MDCK3,4.6741593458169195
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,13 AG,A/SWINE/MEXICO/AVX31/2012 MDCK2,3.6430483395760827
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,14 AG,A/SWINE/MEXICO/AVX23/2012 MDCK2,4.612390214938738
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,15 AG,A/SWINE/MEXICO/AVX44/2012 MDCK2,4.917682471617134
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,16 AG,A/SWINE/MEXICO/AVX18/2012 MDCK2,7.092175597079504
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,17 AG,A/SWINE/MEXICO/AVX61/2013 MDCK2,7.13157939049708
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,18 AG,A/SOLOMON_ISLANDS/3/2006 E2,7.108217504343921
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,19 AG,A/SWINE/ALBERTA/SD0125/2015 MDCK2,5.825117198868708
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,20 AG,A/SWINE/SASKATCHEWAN/SD0094/2015 MDCK2,5.2976504943761125
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,21 AG,A/SWINE/ALBERTA/SD0014/2013 MDCK2,7.094388161050325
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,22 AG,A/SWINE/ALBERTA/SD0154/2016 MDCK2,4.336409880388001
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,23 AG,A/SWINE/MANITOBA/D0333/2014 MDCK2,5.758005038482844
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,24 AG,A/SWINE/MANITOBA/D0392/2014 MDCK2,13.332928060216103
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,25 AG,A/SWINE/SASKATCHEWAN/SD0102/2015 MDCK2,12.351761943847277
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,26 AG,A/SWINE/MANITOBA/SD0114/2015 MDCK2,10.661623115636791
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,27 AG,A/SWINE/ALBERTA/SD0191/2016 MDCK2,10.29372959402899
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,28 AG,A/SWINE/SASKATCHEWAN/SD0200/2016 MDCK2,9.754108988990593
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,29 AG,A/SWINE/MANITOBA/D0348/2014 MDCK2,10.025560317786052
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,30 AG,A/MINNESOTA/45/2016 MDCK3,12.318179861228332
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,31 AG,A/SWINE/MINNESOTA/A01781045/2016 MDCK2,11.102458387955846
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,32 AG,A/SINGAPORE/1986 MDCK2,7.068519908403193
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,33 AG,A/TAIWAN/1/1986 MDCK2,8.924819253482827
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,34 AG,A/TEXAS/36/1991 MDCK2,8.338856869845316
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,35 AG,A/BEIJING/262/1995 MDCK2,8.8559411463894
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,36 AG,A/MICHIGAN/2/2003 MDCK2,7.762790954044389
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,37 AG,A/BRISBANE/59/2007 MDCK3,6.0202971431326455
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,38 AG,A/SWINE/NORTH_CAROLINA/A01730369/2016 MDCK3,5.795959890892827
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,39 AG,A/SOLOMON_ISLANDS/3/2006 E2/M1,6.164556148584987
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,40 AG,A/SWINE/MINNESOTA/A01134353/2011 MDCK3,5.308372803338856
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,41 AG,A/SWINE/NEBRASKA/A01492366/2014 MDCK3,7.561031368898616
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,42 AG,A/SWINE/ILLINOIS/A01644323/2018 MDCK3,6.598064430086915
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,43 AG,A/SWINE/OKLAHOMA/A01409770/2014 MDCK3,9.932514255739514
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,44 AG,A/SWINE/ILLINOIS/A02139356/2018 MDCK3,11.556250538798366
0 AG,A/SWINE/NORTH_CAROLINA/A02076926/2015 MDCK2,45 AG,A/SWINE/MICHIGAN/A01104117/2018 MDCK2,9.028956895807655
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,1.3788958297951235
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,3 AG,A/OHIO/9/2015 MDCK2,2.2084019368950867
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,5.568411641358191
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,5 AG,A/SWINE/MINNESOTA/A01567490/2014 MDCK2,4.54490186075391
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,6 AG,A/CALIFORNIA/4/2009 MDCK4,5.616906577654518
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,7 AG,A/MEXICO/4108/2009 MDCK3,5.199300082302905
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,8 AG,A/BRAZIL/11/1978 MDCK2,10.836846913511257
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,9 AG,A/NEW_CALEDONIA/20/1999 E2,4.666277523826976
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,10 AG,A/MICHIGAN/45/2015 MDCK3,7.2887642152221925
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,11 AG,A/SWINE/NORTH_CAROLINA/A01797415/2015 MDCK3,4.196247478684379
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,12 AG,A/SWINE/IOWA/A01731653/2016 MDCK3,5.545470370998376
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,13 AG,A/SWINE/MEXICO/AVX31/2012 MDCK2,5.197041139100406
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,14 AG,A/SWINE/MEXICO/AVX23/2012 MDCK2,6.0072398668638165
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,15 AG,A/SWINE/MEXICO/AVX44/2012 MDCK2,5.9152244896782324
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,16 AG,A/SWINE/MEXICO/AVX18/2012 MDCK2,6.26743130516092
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,17 AG,A/SWINE/MEXICO/AVX61/2013 MDCK2,7.290621958176816
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,18 AG,A/SOLOMON_ISLANDS/3/2006 E2,5.9068956728943895
1 AG,A/SWINE/NORTH_CAROLINA/A01841602/2015 MDCK2,19 AG,A/SWINE/ALBERTA/SD0125/2015 MDCK2,7.171596969955683
