ag1,ag2,agdistances
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/NORTH_CAROLINA/A01841602/2015,2.024020177
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/OHIO/A01847657/2015,2.598101606
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/OHIO/9/2015,1.965676032
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ILLINOIS/A01493472/2014,3.668610137
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MINNESOTA/A01567490/2014,3.095225138
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/MEXICO/4108/2009,3.334882145
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/NORTH_CAROLINA/A01797415/2015,3.472799368
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/IOWA/A01731653/2016,4.674159346
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MEXICO/AVX31/2012,3.64304834
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MEXICO/AVX23/2012,4.612390215
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MEXICO/AVX44/2012,4.917682472
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MEXICO/AVX18/2012,7.092175597
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MEXICO/AVX61/2013,7.13157939
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ALBERTA/SD0125/2015,5.825117199
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/SASKATCHEWAN/SD0094/2015,5.297650494
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ALBERTA/SD0014/2013,7.094388161
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ALBERTA/SD0154/2016,4.33640988
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MANITOBA/D0333/2014,5.758005038
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MANITOBA/D0392/2014,13.33292806
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/SASKATCHEWAN/SD0102/2015,12.35176194
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MANITOBA/SD0114/2015,10.66162312
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ALBERTA/SD0191/2016,10.29372959
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/SASKATCHEWAN/SD0200/2016,9.754108989
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MANITOBA/D0348/2014,10.02556032
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/MINNESOTA/45/2016,12.31817986
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MINNESOTA/A01781045/2016,11.10245839
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/NORTH_CAROLINA/A01730369/2016,5.795959891
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MINNESOTA/A01134353/2011,5.308372803
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/NEBRASKA/A01492366/2014,7.561031369
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ILLINOIS/A01644323/2018,6.59806443
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/OKLAHOMA/A01409770/2014,9.932514256
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/ILLINOIS/A02139356/2018,11.55625054
A/SWINE/NORTH_CAROLINA/A02076926/2015,A/SWINE/MICHIGAN/A01104117/2018,9.028956896
A/SWINE/NORTH_CAROLINA/A01841602/2015,A/SWINE/OHIO/A01847657/2015,1.37889583
A/SWINE/NORTH_CAROLINA/A01841602/2015,A/OHIO/9/2015,2.208401937
A/SWINE/NORTH_CAROLINA/A01841602/2015,A/SWINE/ILLINOIS/A01493472/2014,5.568411641
A/SWINE/NORTH_CAROLINA/A01841602/2015,A/SWINE/MINNESOTA/A01567490/2014,4.544901861
A/SWINE/NORTH_CAROLINA/A01841602/2015,A/MEXICO/4108/2009,5.199300082
A/SWINE/NORTH_CAROLINA/A01841602/2015,A/SWINE/NORTH_CAROLINA/A01797415/2015,4.196247479
