strain,host,lineage,year
A/SWINE/MINNESOTA/A01567490/2014,swine,gamma,2014
A/SWINE/IOWA/A01731653/2016,swine,gamma,2016
A/SWINE/NORTH_CAROLINA/A01797415/2015,swine,gamma,2015
A/SWINE/NORTH_CAROLINA/A01730369/2016,swine,gamma,2016
A/SWINE/OHIO/511445/2007,swine,gamma,2007
A/SWINE/NORTH_CAROLINA/02023/2008,swine,gamma,2008
A/OHIO/9/2015,hu-variant,gamma,2015
A/SWINE/OHIO/A01847657/2015,swine,gamma,2015
A/SWINE/NORTH_CAROLINA/A01841602/2015,swine,gamma,2015
A/SWINE/NORTH_CAROLINA/A02076926/2015,swine,gamma,2015
A/SWINE/OHIO/02026/2008,swine,gamma,2008
A/SWINE/MISSOURI/02060/2008,swine,gamma,2008
A/SWINE/KANSAS/00246/2004,swine,gamma,2004
A/SWINE/MINNESOTA/00194/2003,swine,gamma,2003
A/SWINE/ILLINOIS/A01493472/2014,swine,npdm,2014
A/MICHIGAN/45/2015,hu-vaccine,npdm,2015
A/SWINE/MEXICO/AVX31/2012,swine,npdm,2012
A/MEXICO/4108/2009,hu-seasonal,npdm,2009
A/CALIFORNIA/4/2009,hu-vaccine,npdm,2009
A/SWINE/MEXICO/AVX44/2012,swine,npdm,2012
A/SWINE/MINNESOTA/1192/2001,swine,other,2001
A/SWINE/ILLINOIS/A01203922/2012,swine,other,2012
A/SWINE/SOUTH_DAKOTA/A01349306/2013,swine,other,2013
A/SWINE/MEXICO/AVX23/2012,swine,other,2012
A/SWINE/KENTUCKY/02086/2008,swine,other,2008
A/SWINE/MINNESOTA/37866/1999,swine,other,1999
A/SWINE/IOWA/A02025359/2015,swine,alpha,2015
A/SWINE/SASKATCHEWAN/SD0102/2015,swine,alpha,2015
A/MINNESOTA/45/2016,hu-variant,alpha,2016
A/SWINE/MINNESOTA/A01781045/2016,swine,alpha,2016
A/SWINE/MANITOBA/SD0114/2015,swine,alpha,2015
A/SWINE/ALBERTA/SD0191/2016,swine,alpha,2016
A/SWINE/SASKATCHEWAN/SD0200/2016,swine,alpha,2016
A/SWINE/SASKATCHEWAN/SD0142/2016,swine,alpha,2016
A/SWINE/MANITOBA/D0348/2014,swine,alpha,2014
A/SWINE/MANITOBA/D0392/2014,swine,alpha,2014
A/SWINE/SOUTH_DAKOTA/A01823237/2015,swine,alpha,2015
A/SWINE/MANITOBA/D0333/2014,swine,alpha,2014
A/SWINE/ALBERTA/SD0014/2013,swine,alpha,2013
A/SWINE/ALBERTA/SD0154/2016,swine,alpha,2016
A/SWINE/SASKATCHEWAN/SD0094/2015,swine,alpha,2015
A/SWINE/ALBERTA/SD0125/2015,swine,alpha,2015
A/SWINE/MINNESOTA/02053/2008,swine,alpha,2008
A/SWINE/IOWA/1973,swine,other,1973
A/SWINE/ILLINOIS/A02139356/2018,swine,delta,2018
A/SWINE/MICHIGAN/A01104117/2018,swine,delta,2018
A/SWINE/OKLAHOMA/A01409770/2014,swine,delta,2014
A/SWINE/ILLINOIS/00685/2005,swine,delta,2005
A/SOLOMON_ISLANDS/3/2006,hu-vaccine,delta,2006
A/BRISBANE/59/2007,hu-vaccine,delta,2007
A/SWINE/MEXICO/AVX61/2013,swine,delta,2013
A/SWINE/MEXICO/AVX18/2012,swine,delta,2012
A/NEW_CALEDONIA/20/1999,hu-vaccine,delta,1999
A/SWINE/MINNESOTA/A01392045/2013,swine,delta,2013
A/SWINE/NEBRASKA/A01492366/2014,swine,delta,2014
A/SWINE/ILLINOIS/A01644323/2018,swine,delta,2018
A/SWINE/MINNESOTA/A01134353/2011,swine,delta,2011
A/SWINE/SOUTH_DAKOTA/A01349341/2013,swine,delta,2013
A/SWINE/MINNESOTA/02011/2008,swine,delta,2008
A/MICHIGAN/2/2003,hu-vaccine,delta,2003
A/BEIJING/262/1995,hu-vaccine,other,1995
A/TEXAS/36/1991,hu-vaccine,other,1991
A/TAIWAN/1/1986,hu-vaccine,other,1986
A/SINGAPORE/1986,hu-vaccine,other,1986
A/CHILE/1/1983,hu-vaccine,other,1983
A/BRAZIL/11/1978,hu-vaccine,other,1978
A/USSR/1977,hu-vaccine,other,1977
