header	source	host	accession	country	strain	global_lineage	us_lineage	Vaccine_global_lineage	Vaccine_us_lineage	isalphadel
map|swine|CY195078|H1N1|alpha|A/SWINE/ALBERTA/SD0014/2013	map	swine	CY195078	Canada	A/SWINE/ALBERTA/SD0014/2013	1A.1.1	alpha	n/a	n/a	alpha
map|swine|CY195295|H1N2|alpha-del|A/SWINE/MANITOBA/D0348/2014	map	swine	CY195295	Canada	A/SWINE/MANITOBA/D0348/2014	1A.1.1	alpha	n/a	n/a	alpha-del
map|swine|CY195575|H1N2|alpha|A/SWINE/MANITOBA/D0333/2014	map	swine	CY195575	Canada	A/SWINE/MANITOBA/D0333/2014	1A.1.1	alpha	n/a	n/a	alpha
map|swine|MF768475|H1N2|alpha-del|A/SWINE/ALBERTA/SD0191/2016	map	swine	MF768475	Canada	A/SWINE/ALBERTA/SD0191/2016	1A.1.1	alpha	n/a	n/a	alpha-del
map|swine|MF768483|H1N1|alpha|A/SWINE/SASKATCHEWAN/SD0094/2015	map	swine	MF768483	Canada	A/SWINE/SASKATCHEWAN/SD0094/2015	1A.1.1	alpha	n/a	n/a	alpha
map|swine|MF768507|H1N2|alpha-del|A/SWINE/MANITOBA/SD0114/2015	map	swine	MF768507	Canada	A/SWINE/MANITOBA/SD0114/2015	1A.1.1	alpha	n/a	n/a	alpha-del
map|swine|MF768523|H1N1|alpha|A/SWINE/ALBERTA/SD0154/2016	map	swine	MF768523	Canada	A/SWINE/ALBERTA/SD0154/2016	1A.1.1	alpha	n/a	n/a	alpha
map|swine|MF768531|H1N2|alpha-del|A/SWINE/MANITOBA/D0392/2014	map	swine	MF768531	Canada	A/SWINE/MANITOBA/D0392/2014	1A.1.1	alpha	n/a	n/a	alpha-del
map|swine|MF768539|H1N2|alpha|A/SWINE/SASKATCHEWAN/SD0102/2015	map	swine	MF768539	Canada	A/SWINE/SASKATCHEWAN/SD0102/2015	1A.1.1	alpha	n/a	n/a	alpha
map|swine|MF768547|H1N2|alpha|A/SWINE/SASKATCHEWAN/SD0200/2016	map	swine	MF768547	Canada	A/SWINE/SASKATCHEWAN/SD0200/2016	1A.1.1	alpha	n/a	n/a	alpha
map|swine|MF768555|H1N1|alpha|A/SWINE/ALBERTA/SD0125/2015	map	swine	MF768555	Canada	A/SWINE/ALBERTA/SD0125/2015	1A.1.1	alpha	n/a	n/a	alpha
bg|CY195455|A/swine/Saskatchewan/SD0056/2014|Canada|2014-12-15	bg	swine	CY195455	Canada	A/swine/Saskatchewan/SD0056/2014	1A.1.1	alpha	n/a	n/a	alpha
bg|CY246105|A/swine/Manitoba/SD0144/2016|Canada|2016-02-10	bg	swine	CY246105	Canada	A/swine/Manitoba/SD0144/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|CY246396|A/swine/Manitoba/SD0170/2016|Canada|2016-06-22	bg	swine	CY246396	Canada	A/swine/Manitoba/SD0170/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|CY246227|A/swine/Alberta/SD0164/2016|Canada|2016-04-13	bg	swine	CY246227	Canada	A/swine/Alberta/SD0164/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|CY245609|A/swine/Manitoba/SD0165/2016|Canada|2016-05-04	bg	swine	CY245609	Canada	A/swine/Manitoba/SD0165/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|MK462717|A/swine/Alberta/SD0224/2017|Canada|2017-05-01	bg	swine	MK462717	Canada	A/swine/Alberta/SD0224/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MK462290|A/swine/Alberta/SD0272/2018|Canada|2018-03-09	bg	swine	MK462290	Canada	A/swine/Alberta/SD0272/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MK462459|A/swine/Alberta/SD0267/2017|Canada|2017-12-11	bg	swine	MK462459	Canada	A/swine/Alberta/SD0267/2017	1A.1.1	alpha	n/a	n/a	alpha
